Home Team,Away Team,Home Odds,Away Odds,Home Prob,Away Prob,Avg. Home Profit,Avg. Away Profit,Home Std,Away Std
PHI,WAS,-800,550,0.7862535481418039,0.2124247695901854,-17.171475834047058,62.95897808878239,46.11936178323465,265.86548421359345
TOR,POR,-218,180,0.7855917256395518,0.2130702675394579,7.301912272191505,2.911820721057609,59.86732417371656,114.65353097310846
BOS,NYK,-112,-108,0.614419417794284,0.3820462215163186,6.8365326539180415,-12.813037709801357,92.13144481513707,93.57838158877165
SAS,MEM,-218,180,0.7936775943236857,0.20518659308618636,8.481410548133962,2.3013461878821175,59.029062115738654,113.0746139508927
NOP,MIN,380,-500,0.2005378398481784,0.7984477893707439,-27.74183687287436,-69.97726022776729,192.1933514261406,48.13913589880807
GSW,OKC,440,-600,0.27010709858470217,0.7273426098450276,18.85783323573918,-66.70024664411267,239.7680596557316,51.954711982044
ORL,MIA,-205,170,0.5509638285739872,0.4457347642776913,-25.466357212162887,17.371292784606247,74.00280565717335,134.20257157594622
TOR,NYK,110,-130,0.6424682530745148,0.3540742592236118,24.418333145648113,-17.36284705996299,100.64737126118105,84.6102459127106
OKC,PHX,-950,625,0.8149549694361898,0.18444536214720897,-15.452345483368491,60.523848285624595,42.92113651523149,281.189051746539
LAL,SAS,-180,150,0.5588735129199339,0.4377679582553885,-20.841897990232503,9.052545030301665,77.23672626172134,124.02801421964539
